FIPS,Chlamydia Rate per 100000
29041,160.9
51036,500
24017,683.1
46023,632.3
45019,698.9
26029,187.1
12015,150.9
51037,376.8
51540,519.9
13049,503.1
20017,230.8
31029,50.8
13051,888.1
37037,288.5
13053,613.2
13055,411.6
20019,242.1
36013,475.4
35005,529.8
47021,365.4
26031,101.9
53007,372.6
36015,380.1
36017,208.7
01019,384.4
13057,264.3
19035,159.4
20021,334.4
37039,183.3
40021,555.5
45021,937.5
48073,500.2
31031,156.2
51550,626.8
33005,231.9
42029,253
45023,730.6
47023,405.9
45025,597.2
51041,519.1
08017,107.6
20023,37.8
31033,183.2
19037,242.6
28017,853.8
05017,804.4
48075,437.5
01021,341.9
26033,221.6
27023,218.5
55017,283.9
27025,237.6
50007,361.3
01023,381.8
28019,471.9
40023,517.1
30015,104.5
37041,668.3
17021,238.9
21047,800.4
29043,311.3
32001,412.1
72039,126
35006,919.1
72041,170.1
40025,138.6
12017,224.8
41005,336.3
28021,0
47025,301.4
22027,811.6
53009,248.2
26035,211.5
45027,841.7
42031,258.6
05019,815.7
16033,235
17023,237.2
18019,377.7
20025,50.2
21049,439.5
29045,58.5
32003,615.2
39023,617
46025,161
53011,408.4
55019,181.5
01025,581.2
13059,649.8
19039,421
28023,770
51043,124
41007,365.1
01027,646.9
05021,270.9
12019,409.9
13061,589.5
19041,130.4
17025,226.1
18021,336.2
20027,112.5
21051,169.3
27027,348.3
29047,479.4
28025,809.1
37043,197.8
31035,129
46027,493.5
47027,273.5
48077,143.6
54015,127.3
13063,803.3
19043,188.1
08019,104.1
42033,181
16035,239.8
27029,238.2
01029,259.8
05023,268.1
39025,290
05025,287.7
37045,680.9
40027,483
13065,651.2
19045,465.1
17027,315.7
18023,366.6
21053,197
26037,334.5
29049,362.1
36019,375.6
39027,389.7
42035,242.9
20029,320.6
28027,1628
40029,525.4
72043,174.4
13067,455.1
04003,368.6
48079,282.6
47029,390.4
04005,744.4
46029,246.1
01031,600.6
13069,610.8
47031,316.8
20031,206.5
48081,387.5
01033,421.8
29051,610
48083,155.4
17029,631.5
31037,205
35007,281.7
45029,833.4
12021,342.1
48085,376.6
48087,0
51570,468.5
48089,337.9
13071,517
05027,924.3
12023,574.5
13073,274.5
36021,336.2
41009,306.2
42037,383.3
53013,99
55021,263.4
39029,263.5
37047,530.3
06011,270.8
48091,351
20033,0
40031,886.1
48093,214.2
72045,96.9
48095,111.8
22029,699.5
01035,667.1
08021,256.7
06013,537.9
56009,285.5
05029,389
13075,757.1
17031,836.6
27031,184.3
