"cnty_fips","display_name","Value","theme_range"
41019,"""Douglas, (OR)""",36.3,"35.8 - 38.2 (613)"
41021,"""Gilliam, (OR)""",37.8,"35.8 - 38.2 (613)"
41027,"""Hood River, (OR)""",30.3,"18.7 - 32.7 (646)"
41029,"""Jackson, (OR)""",31.3,"18.7 - 32.7 (646)"
41031,"""Jefferson, (OR)""",34.4,"32.8 - 35.7 (637)"
41033,"""Josephine, (OR)""",37.2,"35.8 - 38.2 (613)"
41035,"""Klamath, (OR)""",35.3,"32.8 - 35.7 (637)"
41037,"""Lake, (OR)""",38.2,"35.8 - 38.2 (613)"
41039,"""Lane, (OR)""",29.4,"18.7 - 32.7 (646)"
41041,"""Lincoln, (OR)""",38.1,"35.8 - 38.2 (613)"
41043,"""Linn, (OR)""",31.4,"18.7 - 32.7 (646)"
41047,"""Marion, (OR)""",30.4,"18.7 - 32.7 (646)"
41051,"""Multnomah, (OR)""",26.7,"18.7 - 32.7 (646)"
41053,"""Polk, (OR)""",29.3,"18.7 - 32.7 (646)"
41055,"""Sherman, (OR)""",35.5,"32.8 - 35.7 (637)"
41057,"""Tillamook, (OR)""",36.6,"35.8 - 38.2 (613)"
41065,"""Wasco, (OR)""",32.2,"18.7 - 32.7 (646)"
41067,"""Washington, (OR)""",26.7,"18.7 - 32.7 (646)"
41069,"""Wheeler, (OR)""",42.2,"41.9 - 56.9 (624)"
41071,"""Yamhill, (OR)""",30.2,"18.7 - 32.7 (646)"
53007,"""Chelan, (WA)""",33.7,"32.8 - 35.7 (637)"
53009,"""Clallam, (WA)""",39.7,"38.3 - 41.8 (622)"
53011,"""Clark, (WA)""",30,"18.7 - 32.7 (646)"
53015,"""Cowlitz, (WA)""",35.4,"32.8 - 35.7 (637)"
53027,"""Grays Harbor, (WA)""",36.6,"35.8 - 38.2 (613)"
53029,"""Island, (WA)""",33.6,"32.8 - 35.7 (637)"
53031,"""Jefferson, (WA)""",37.7,"35.8 - 38.2 (613)"
53033,"""King, (WA)""",24.3,"18.7 - 32.7 (646)"
53035,"""Kitsap, (WA)""",29.8,"18.7 - 32.7 (646)"
53037,"""Kittitas, (WA)""",27.5,"18.7 - 32.7 (646)"
53039,"""Klickitat, (WA)""",38.2,"35.8 - 38.2 (613)"
53041,"""Lewis, (WA)""",37.4,"35.8 - 38.2 (613)"
53045,"""Mason, (WA)""",36.1,"35.8 - 38.2 (613)"
53047,"""Okanogan, (WA)""",36.9,"35.8 - 38.2 (613)"
53049,"""Pacific, (WA)""",41.9,"41.9 - 56.9 (624)"
53053,"""Pierce, (WA)""",32,"18.7 - 32.7 (646)"
53055,"""San Juan, (WA)""",36.8,"35.8 - 38.2 (613)"
53057,"""Skagit, (WA)""",32.6,"18.7 - 32.7 (646)"
53059,"""Skamania, (WA)""",34.2,"32.8 - 35.7 (637)"
53061,"""Snohomish, (WA)""",30.9,"18.7 - 32.7 (646)"
53067,"""Thurston, (WA)""",28.8,"18.7 - 32.7 (646)"
53069,"""Wahkiakum, (WA)""",43,"41.9 - 56.9 (624)"
53073,"""Whatcom, (WA)""",28.9,"18.7 - 32.7 (646)"
53077,"""Yakima, (WA)""",33.3,"32.8 - 35.7 (637)"
04001,"""Apache, (AZ)""",35.9,"35.8 - 38.2 (613)"
04003,"""Cochise, (AZ)""",36.9,"35.8 - 38.2 (613)"
04005,"""Coconino, (AZ)""",26.5,"18.7 - 32.7 (646)"
04007,"""Gila, (AZ)""",42.9,"41.9 - 56.9 (624)"
04009,"""Graham, (AZ)""",31.3,"18.7 - 32.7 (646)"
04011,"""Greenlee, (AZ)""",30.1,"18.7 - 32.7 (646)"
04012,"""La Paz, (AZ)""",45.4,"41.9 - 56.9 (624)"
04013,"""Maricopa, (AZ)""",29.6,"18.7 - 32.7 (646)"
04015,"""Mohave, (AZ)""",40.6,"38.3 - 41.8 (622)"
04017,"""Navajo, (AZ)""",35.7,"32.8 - 35.7 (637)"
04019,"""Pima, (AZ)""",30.8,"18.7 - 32.7 (646)"
04021,"""Pinal, (AZ)""",34.9,"32.8 - 35.7 (637)"
04023,"""Santa Cruz, (AZ)""",33.9,"32.8 - 35.7 (637)"
04025,"""Yavapai, (AZ)""",38,"35.8 - 38.2 (613)"
04027,"""Yuma, (AZ)""",33.1,"32.8 - 35.7 (637)"
06003,"""Alpine, (CA)""",36.8,"35.8 - 38.2 (613)"
06019,"""Fresno, (CA)""",30.2,"18.7 - 32.7 (646)"
06025,"""Imperial, (CA)""",30.8,"18.7 - 32.7 (646)"
06027,"""Inyo, (CA)""",34.2,"32.8 - 35.7 (637)"
06029,"""Kern, (CA)""",31.4,"18.7 - 32.7 (646)"
06037,"""Los Angeles, (CA)""",27.1,"18.7 - 32.7 (646)"
06039,"""Madera, (CA)""",31.4,"18.7 - 32.7 (646)"
06051,"""Mono, (CA)""",29.3,"18.7 - 32.7 (646)"
06059,"""Orange, (CA)""",28.4,"18.7 - 32.7 (646)"
06065,"""Riverside, (CA)""",31,"18.7 - 32.7 (646)"
06071,"""San Bernardino, (CA)""",28.7,"18.7 - 32.7 (646)"
06073,"""San Diego, (CA)""",28.4,"18.7 - 32.7 (646)"
06107,"""Tulare, (CA)""",30.9,"18.7 - 32.7 (646)"
06111,"""Ventura, (CA)""",29.8,"18.7 - 32.7 (646)"
08007,"""Archuleta, (CO)""",33.9,"32.8 - 35.7 (637)"
08029,"""Delta, (CO)""",35.3,"32.8 - 35.7 (637)"
08033,"""Dolores, (CO)""",37,"35.8 - 38.2 (613)"
08045,"""Garfield, (CO)""",25,"18.7 - 32.7 (646)"
08051,"""Gunnison, (CO)""",22.8,"18.7 - 32.7 (646)"
08053,"""Hinsdale, (CO)""",34.1,"32.8 - 35.7 (637)"
08067,"""La Plata, (CO)""",26.8,"18.7 - 32.7 (646)"
08077,"""Mesa, (CO)""",29,"18.7 - 32.7 (646)"
08079,"""Mineral, (CO)""",34.5,"32.8 - 35.7 (637)"
08081,"""Moffat, (CO)""",29.9,"18.7 - 32.7 (646)"
08083,"""Montezuma, (CO)""",33.4,"32.8 - 35.7 (637)"
08085,"""Montrose, (CO)""",32.4,"18.7 - 32.7 (646)"
08091,"""Ouray, (CO)""",32.4,"18.7 - 32.7 (646)"
08097,"""Pitkin, (CO)""",26.1,"18.7 - 32.7 (646)"
08103,"""Rio Blanco, (CO)""",29.1,"18.7 - 32.7 (646)"
08107,"""Routt, (CO)""",25.4,"18.7 - 32.7 (646)"
08111,"""San Juan, (CO)""",35,"32.8 - 35.7 (637)"
08113,"""San Miguel, (CO)""",25.6,"18.7 - 32.7 (646)"
16001,"""Ada, (ID)""",28.6,"18.7 - 32.7 (646)"
16005,"""Bannock, (ID)""",30.3,"18.7 - 32.7 (646)"
16007,"""Bear Lake, (ID)""",33.8,"32.8 - 35.7 (637)"
16011,"""Bingham, (ID)""",31.3,"18.7 - 32.7 (646)"
16013,"""Blaine, (ID)""",29.9,"18.7 - 32.7 (646)"
16015,"""Boise, (ID)""",37.2,"35.8 - 38.2 (613)"
16019,"""Bonneville, (ID)""",27,"18.7 - 32.7 (646)"
16023,"""Butte, (ID)""",37.2,"35.8 - 38.2 (613)"
16025,"""Camas, (ID)""",37.4,"35.8 - 38.2 (613)"
16027,"""Canyon, (ID)""",31.1,"18.7 - 32.7 (646)"
16029,"""Caribou, (ID)""",31.8,"18.7 - 32.7 (646)"
16031,"""Cassia, (ID)""",29.9,"18.7 - 32.7 (646)"
16033,"""Clark, (ID)""",34.8,"32.8 - 35.7 (637)"
16037,"""Custer, (ID)""",37.5,"35.8 - 38.2 (613)"
16039,"""Elmore, (ID)""",29,"18.7 - 32.7 (646)"
16041,"""Franklin, (ID)""",29.9,"18.7 - 32.7 (646)"
16043,"""Fremont, (ID)""",32,"18.7 - 32.7 (646)"
16045,"""Gem, (ID)""",34.7,"32.8 - 35.7 (637)"
16047,"""Gooding, (ID)""",32.8,"32.8 - 35.7 (637)"
16051,"""Jefferson, (ID)""",28.4,"18.7 - 32.7 (646)"
16053,"""Jerome, (ID)""",29.4,"18.7 - 32.7 (646)"
16063,"""Lincoln, (ID)""",32.2,"18.7 - 32.7 (646)"
16065,"""Madison, (ID)""",21,"18.7 - 32.7 (646)"
16067,"""Minidoka, (ID)""",31.2,"18.7 - 32.7 (646)"
16071,"""Oneida, (ID)""",35,"32.8 - 35.7 (637)"
16073,"""Owyhee, (ID)""",35,"32.8 - 35.7 (637)"
16075,"""Payette, (ID)""",34.1,"32.8 - 35.7 (637)"
16077,"""Power, (ID)""",33.2,"32.8 - 35.7 (637)"
16081,"""Teton, (ID)""",27,"18.7 - 32.7 (646)"
16083,"""Twin Falls, (ID)""",30.9,"18.7 - 32.7 (646)"
16087,"""Washington, (ID)""",37.2,"35.8 - 38.2 (613)"
32001,"""Churchill, (NV)""",34.8,"32.8 - 35.7 (637)"
32003,"""Clark, (NV)""",32.6,"18.7 - 32.7 (646)"
32005,"""Douglas, (NV)""",35.8,"35.8 - 38.2 (613)"
32007,"""Elko, (NV)""",30.4,"18.7 - 32.7 (646)"
32009,"""Esmeralda, (NV)""",43.9,"41.9 - 56.9 (624)"
32011,"""Eureka, (NV)""",34.3,"32.8 - 35.7 (637)"
32013,"""Humboldt, (NV)""",30.8,"18.7 - 32.7 (646)"
32015,"""Lander, (NV)""",32.6,"18.7 - 32.7 (646)"
32017,"""Lincoln, (NV)""",35.8,"35.8 - 38.2 (613)"
32019,"""Lyon, (NV)""",35.9,"35.8 - 38.2 (613)"
32021,"""Mineral, (NV)""",41,"38.3 - 41.8 (622)"
32023,"""Nye, (NV)""",43.4,"41.9 - 56.9 (624)"
32027,"""Pershing, (NV)""",33.9,"32.8 - 35.7 (637)"
32029,"""Storey, (NV)""",39.7,"38.3 - 41.8 (622)"
32031,"""Washoe, (NV)""",30.5,"18.7 - 32.7 (646)"
32033,"""White Pine, (NV)""",33.7,"32.8 - 35.7 (637)"
32510,"""Carson City, (NV)""",32.8,"32.8 - 35.7 (637)"
35003,"""Catron, (NM)""",43.3,"41.9 - 56.9 (624)"
35006,"""Cibola, (NM)""",37.3,"35.8 - 38.2 (613)"
35013,"""Do̱a Ana, (NM)""",31.6,"18.7 - 32.7 (646)"
35017,"""Grant, (NM)""",36.1,"35.8 - 38.2 (613)"
35023,"""Hidalgo, (NM)""",35.8,"35.8 - 38.2 (613)"
35029,"""Luna, (NM)""",36.1,"35.8 - 38.2 (613)"
35031,"""McKinley, (NM)""",32.4,"18.7 - 32.7 (646)"
35043,"""Sandoval, (NM)""",30.2,"18.7 - 32.7 (646)"
35045,"""San Juan, (NM)""",31.8,"18.7 - 32.7 (646)"
35051,"""Sierra, (NM)""",41,"38.3 - 41.8 (622)"
35053,"""Socorro, (NM)""",34.7,"32.8 - 35.7 (637)"
35061,"""Valencia, (NM)""",32.4,"18.7 - 32.7 (646)"
41023,"""Grant, (OR)""",37.1,"35.8 - 38.2 (613)"
41025,"""Harney, (OR)""",36.3,"35.8 - 38.2 (613)"
41045,"""Malheur, (OR)""",34.6,"32.8 - 35.7 (637)"
49001,"""Beaver, (UT)""",30.8,"18.7 - 32.7 (646)"
49003,"""Box Elder, (UT)""",29.2,"18.7 - 32.7 (646)"
49005,"""Cache, (UT)""",22.7,"18.7 - 32.7 (646)"
49007,"""Carbon, (UT)""",32.4,"18.7 - 32.7 (646)"
49009,"""Daggett, (UT)""",34.3,"32.8 - 35.7 (637)"
49011,"""Davis, (UT)""",24.7,"18.7 - 32.7 (646)"
49013,"""Duchesne, (UT)""",29.9,"18.7 - 32.7 (646)"
49015,"""Emery, (UT)""",31.4,"18.7 - 32.7 (646)"
49017,"""Garfield, (UT)""",34.9,"32.8 - 35.7 (637)"
49019,"""Grand, (UT)""",31.7,"18.7 - 32.7 (646)"
